,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bathsheba,13.2167,-59.5167,77.61,83,75,13.8,BB,1644191736
1,lompoc,34.6391,-120.4579,77.09,52,0,11.5,US,1644191737
2,yellowknife,62.456,-114.3525,-1.68,84,75,3.44,CA,1644191517
3,rikitea,-23.1203,-134.9692,79.32,71,3,18.54,PF,1644191718
4,castro,-24.7911,-50.0119,65.37,83,47,1.86,BR,1644191737
5,dandong,40.1292,124.3947,14.72,76,8,4.09,CN,1644191738
6,padang,-0.9492,100.3543,71.65,81,100,2.04,ID,1644191738
7,avarua,-21.2078,-159.775,84.25,74,40,14.97,CK,1644191738
8,dali,25.7,100.1833,33.06,90,7,2.8,CN,1644191739
9,busselton,-33.65,115.3333,60.08,61,70,18.79,AU,1644191720
10,port alfred,-33.5906,26.891,74.84,79,91,6.38,ZA,1644191739
11,tuktoyaktuk,69.4541,-133.0374,-25.6,68,40,12.66,CA,1644191740
12,benjamin aceval,-24.9667,-57.5667,80.74,57,0,2.26,PY,1644191740
13,angoram,-4.0625,144.0661,78.76,91,100,2.01,PG,1644191740
14,cape town,-33.9258,18.4232,65.26,83,20,2.3,ZA,1644191539
15,mataura,-46.1927,168.8643,60.48,40,6,1.07,NZ,1644191493
16,cabo san lucas,22.8909,-109.9124,73.51,63,1,1.01,MX,1644191741
17,preobrazheniye,42.9019,133.9064,12.99,59,25,8.88,RU,1644191741
18,necochea,-38.5473,-58.7368,61.03,74,75,14.63,AR,1644191742
19,khatanga,71.9667,102.5,-15.41,98,99,9.26,RU,1644191742
20,saint-georges,12.0564,-61.7485,78.48,83,20,20.71,GD,1644191742
21,atuona,-9.8,-139.0333,78.76,76,20,18.41,PF,1644191742
22,neiafu,-18.65,-173.9833,75.88,94,100,12.66,TO,1644191743
23,ushuaia,-54.8,-68.3,60.46,63,75,13.8,AR,1644191743
24,ilhabela,-23.7781,-45.3581,77.77,90,100,2.42,BR,1644191743
25,qena,26.1615,32.7183,53.71,46,0,3.98,EG,1644191744
26,shihezi,44.3,86.0333,0.43,85,7,5.12,CN,1644191744
27,avera,33.194,-82.5271,46.71,53,100,6.15,US,1644191744
28,kodiak,57.79,-152.4072,35.37,69,99,7.16,US,1644191745
29,faanui,-16.4833,-151.75,81.66,74,94,20.27,PF,1644191745
30,bluff,-46.6,168.3333,60.8,62,1,11.01,NZ,1644191745
31,hobart,-42.8794,147.3294,73.02,51,20,1.99,AU,1644191517
32,hermanus,-34.4187,19.2345,64.9,95,21,3.29,ZA,1644191746
33,saint-philippe,-21.3585,55.7679,76.59,83,99,13.31,RE,1644191746
34,marsa matruh,31.3525,27.2453,48.4,81,0,5.75,EG,1644191747
35,punta arenas,-53.15,-70.9167,53.71,82,75,10.36,CL,1644191747
36,ostrovnoy,68.0531,39.5131,12.81,88,90,20.83,RU,1644191747
37,albany,42.6001,-73.9662,21.63,74,62,3.65,US,1644191520
38,sitka,57.0531,-135.33,40.91,95,100,9.31,US,1644191740
39,severo-yeniseyskiy,60.3725,93.0408,3.31,99,100,2.51,RU,1644191748
40,dunmore town,25.5,-76.65,74.44,67,13,13.89,BS,1644191748
41,puerto del rosario,28.5004,-13.8627,65.95,82,18,18.41,ES,1644191749
42,maumere,-8.6199,122.2111,82.74,76,14,7.27,ID,1644191749
43,airai,-8.9266,125.4092,68.97,74,71,1.21,TL,1644191749
44,barrow,71.2906,-156.7887,-30.75,96,38,11.23,US,1644191750
45,nikolskoye,59.7035,30.7861,35.87,93,100,11.05,RU,1644191750
46,broome,42.2506,-75.833,24.91,75,38,1.99,US,1644191810
47,clyde river,70.4692,-68.5914,-34.37,61,0,11.5,CA,1644191749
48,great bend,38.3645,-98.7648,45.03,42,43,8.72,US,1644191811
49,puerto ayora,-0.7393,-90.3518,75.54,90,36,4.0,EC,1644191811
50,lebu,-37.6167,-73.65,60.48,88,0,13.73,CL,1644191812
51,georgetown,5.4112,100.3354,76.95,97,40,3.0,MY,1644191680
52,saint george,37.1041,-113.5841,61.27,17,0,4.38,US,1644191812
53,iqaluit,63.7506,-68.5145,-36.31,65,0,5.01,CA,1644191812
54,husavik,66.0449,-17.3389,21.11,92,99,10.11,IS,1644191632
55,kapaa,22.0752,-159.319,78.19,72,18,3.0,US,1644191813
56,hilo,19.7297,-155.09,73.8,91,54,1.99,US,1644191813
57,port hedland,-20.3167,118.5667,78.85,100,40,3.44,AU,1644191814
58,shingu,33.7333,135.9833,38.91,51,18,7.4,JP,1644191814
59,tuatapere,-46.1333,167.6833,60.82,47,1,6.15,NZ,1644191814
60,qaanaaq,77.484,-69.3632,-12.98,59,31,8.28,GL,1644191814
61,sinjar,36.3209,41.8754,42.3,53,83,2.51,IQ,1644191815
62,puerto escondido,15.85,-97.0667,79.95,69,2,3.29,MX,1644191552
63,pevek,69.7008,170.3133,-23.33,98,21,0.81,RU,1644191745
64,komsomolskiy,40.4272,71.7189,38.12,87,75,4.61,UZ,1644191816
65,puerto colombia,10.9878,-74.9547,80.69,82,2,24.0,CO,1644191816
66,gari,59.4307,62.3497,8.33,95,100,7.07,RU,1644191816
67,elban,50.1018,136.5094,-1.77,95,99,3.33,RU,1644191816
68,mayya,61.7333,130.2811,-36.69,100,100,2.44,RU,1644191817
69,bizhbulyak,53.6967,54.2642,11.62,97,100,1.68,RU,1644191817
70,altagracia de orituco,9.8601,-66.3814,73.49,78,47,7.07,VE,1644191818
71,vaini,-21.2,-175.2,77.16,94,100,11.5,TO,1644191800
72,high level,58.5169,-117.136,37.78,77,53,8.75,CA,1644191722
73,kharan,28.5833,65.4167,56.39,24,32,12.53,PK,1644191818
74,puerto ayacucho,5.6639,-67.6236,89.38,59,92,5.3,VE,1644191818
75,santa marta,11.2408,-74.199,86.05,58,20,16.11,CO,1644191736
76,darovskoy,58.77,47.9564,17.35,96,100,1.23,RU,1644191819
77,longyearbyen,78.2186,15.6401,19.24,68,20,12.66,SJ,1644191802
78,port elizabeth,-33.918,25.5701,72.1,73,0,4.61,ZA,1644191676
79,yulara,-25.2406,130.9889,76.84,36,0,8.05,AU,1644191820
80,jamestown,42.097,-79.2353,30.72,46,0,5.99,US,1644191639
81,pandharpur,17.6667,75.3333,69.19,39,91,7.05,IN,1644191820
82,mount isa,-20.7333,139.5,83.97,54,43,10.36,AU,1644191821
83,batagay,67.6333,134.6333,-35.86,96,100,2.08,RU,1644191821
84,berlevag,70.8578,29.0864,19.31,87,37,19.46,NO,1644191799
85,la ronge,55.1001,-105.2842,12.45,79,100,8.05,CA,1644191559
86,uruzgan,32.8333,66.0,34.95,51,0,5.88,AF,1644191822
87,ballina,-28.8667,153.5667,71.78,78,75,12.66,AU,1644191822
88,labuhan,-6.8844,112.2051,79.25,85,100,5.23,ID,1644191822
89,leningradskiy,69.3833,178.4167,-24.29,99,30,3.13,RU,1644191823
90,bethanien,-26.502,17.1583,73.38,61,98,4.56,NA,1644191823
91,aswan,24.0934,32.907,52.9,37,0,8.05,EG,1644191883
92,bilma,18.6853,12.9164,60.22,17,0,8.1,NE,1644191884
93,guanhaes,-18.775,-42.9325,66.31,97,100,2.84,BR,1644191884
94,sinnamary,5.3833,-52.95,77.85,87,100,9.08,GF,1644191885
95,kaniama,-7.5667,24.1833,65.52,96,100,3.24,CD,1644191885
96,thompson,55.7435,-97.8558,-5.64,65,75,3.44,CA,1644191885
97,sobolevo,54.4299,31.8996,30.24,97,100,14.47,RU,1644191860
98,butaritari,3.0707,172.7902,82.36,75,51,15.37,KI,1644191886
99,tiznit,29.5833,-9.5,61.34,33,5,3.18,MA,1644191886
100,flinders,-34.5833,150.8552,71.19,70,68,11.99,AU,1644191886
101,coquimbo,-29.9533,-71.3436,64.13,82,40,8.05,CL,1644191596
102,magole,-6.3667,37.3667,72.43,97,100,1.77,TZ,1644191887
103,vardo,70.3705,31.1107,23.25,81,78,19.48,NO,1644191639
104,ahipara,-35.1667,173.1667,76.66,92,96,7.34,NZ,1644191609
105,havre-saint-pierre,50.2334,-63.5986,6.8,64,20,6.91,CA,1644191887
106,erenhot,43.6475,111.9767,1.27,87,5,5.06,CN,1644191888
107,samarai,-10.6167,150.6667,85.23,66,100,9.62,PG,1644191888
108,kabanjahe,3.1001,98.4908,63.36,93,96,2.73,ID,1644191888
109,mar del plata,-38.0023,-57.5575,66.09,80,75,3.0,AR,1644191889
110,sigli,5.3848,95.9609,74.66,92,100,3.4,ID,1644191599
111,byron bay,-28.65,153.6167,72.88,63,89,17.0,AU,1644191890
112,isla vista,34.4133,-119.861,79.27,31,0,1.99,US,1644191890
113,east london,-33.0153,27.9116,72.57,84,49,14.74,ZA,1644191890
114,belyy yar,53.6039,91.3903,-7.71,84,100,2.24,RU,1644191891
115,arraial do cabo,-22.9661,-42.0278,80.46,78,40,13.8,BR,1644191891
116,kudahuvadhoo,2.6708,72.8944,81.12,65,73,10.94,MV,1644191891
117,san lorenzo,-25.3333,-57.5333,79.74,44,0,6.91,PY,1644191891
118,dikson,73.5069,80.5464,-15.39,98,96,14.25,RU,1644191673
119,matara,5.9485,80.5353,74.34,88,94,4.54,LK,1644191892
120,prince rupert,54.3161,-130.3201,48.29,66,100,18.41,CA,1644191603
121,namatanai,-3.6667,152.4333,85.14,65,41,5.66,PG,1644191892
122,miri,4.4148,114.0089,75.34,100,40,0.0,MY,1644191893
123,kavieng,-2.5744,150.7967,83.43,71,45,2.51,PG,1644191600
124,ust-koksa,50.2696,85.6108,-5.42,82,49,1.1,RU,1644191893
125,provideniya,64.3833,-173.3,3.31,66,0,6.71,RU,1644191894
126,manavalakurichi,8.1333,77.3,77.09,81,72,6.02,IN,1644191894
127,rio gallegos,-51.6226,-69.2181,71.65,37,75,20.71,AR,1644191894
128,alice springs,-23.7,133.8833,76.55,47,0,0.0,AU,1644191815
129,omboue,-1.5746,9.2618,77.49,88,20,6.33,GA,1644191895
130,saint anthony,45.0205,-93.218,14.2,69,100,5.01,US,1644191895
131,progreso,21.2833,-89.6667,72.1,76,25,11.9,MX,1644191896
132,codrington,-38.2667,141.9667,79.03,32,0,5.57,AU,1644191896
133,upernavik,72.7868,-56.1549,-15.84,99,100,9.73,GL,1644191666
134,chuy,-33.6971,-53.4616,64.17,59,5,13.96,UY,1644191896
135,tiksi,71.6872,128.8694,-16.11,99,100,5.28,RU,1644191957
136,kahului,20.8947,-156.47,79.97,73,16,11.99,US,1644191750
137,esperance,-33.8667,121.9,64.24,56,42,25.39,AU,1644191957
138,bambous virieux,-20.3428,57.7575,79.05,89,75,6.91,MU,1644191958
139,burnie,-41.0667,145.9167,63.86,63,13,10.96,AU,1644191958
140,saint-pierre,-21.3393,55.4781,76.68,78,0,5.75,RE,1644191958
141,oktyabrskoye,43.0645,44.7417,28.54,100,99,4.47,RU,1644191959
142,novaya igirma,57.1334,103.9112,9.16,98,100,2.59,RU,1644191959
143,pacific grove,36.6177,-121.9166,70.45,66,0,4.0,US,1644191959
144,alyangula,-13.8483,136.4192,82.27,83,40,5.75,AU,1644191880
145,harper,4.375,-7.7169,79.14,83,88,7.96,LR,1644191960
146,grand gaube,-20.0064,57.6608,79.2,83,90,1.99,MU,1644191960
147,songea,-10.6833,35.65,65.55,94,75,3.44,TZ,1644191961
148,narsaq,60.9167,-46.05,9.14,85,100,0.6,GL,1644191961
149,laguna,38.421,-121.4238,69.66,45,0,1.01,US,1644191961
150,cayenne,4.9333,-52.3333,80.1,86,75,5.01,GF,1644191962
151,manokwari,-0.8667,134.0833,81.54,68,100,2.42,ID,1644191713
152,chimoio,-19.1164,33.4833,69.66,100,75,3.85,MZ,1644191962
153,mitchell,43.7094,-98.0298,30.11,54,19,4.0,US,1644191786
154,hurricane,37.1753,-113.2899,59.34,25,0,6.64,US,1644191963
155,merauke,-8.4667,140.3333,83.48,76,100,5.88,ID,1644191963
156,lagos,6.5833,3.75,80.92,95,29,0.83,NG,1644191899
157,hasaki,35.7333,140.8333,36.28,40,4,11.74,JP,1644191890
158,norman wells,65.282,-126.8329,-12.96,70,100,18.41,CA,1644191964
159,minab,27.1467,57.0801,61.12,77,0,2.3,IR,1644191964
160,valparaiso,-33.0393,-71.6273,66.47,84,75,5.75,CL,1644191867
161,kaka,37.3482,59.6143,36.99,88,100,9.89,TM,1644191965
162,conceicao do araguaia,-8.2578,-49.2647,75.74,89,42,0.96,BR,1644191965
163,srednekolymsk,67.45,153.6833,-35.66,99,57,0.87,RU,1644191965
164,tres palos,18.1833,-101.6167,81.16,42,22,5.03,MX,1644191966
165,talikota,16.4833,76.3167,68.97,53,69,6.46,IN,1644191966
166,richards bay,-28.783,32.0377,70.9,92,40,3.11,ZA,1644191966
167,berezovyy,51.6667,135.7,4.55,95,100,1.23,RU,1644191967
168,fortuna,40.5982,-124.1573,66.42,94,100,10.36,US,1644191894
169,touros,-5.1989,-35.4608,81.5,73,2,11.41,BR,1644191818
170,chokurdakh,70.6333,147.9167,-41.22,100,85,2.62,RU,1644191967
171,ribeira grande,38.5167,-28.7,61.36,84,11,12.62,PT,1644191968
172,mahebourg,-20.4081,57.7,79.09,89,75,6.91,MU,1644191968
173,dunedin,-45.8742,170.5036,62.8,66,56,4.0,NZ,1644191968
174,saldanha,-33.0117,17.9442,64.45,97,20,10.47,ZA,1644191804
175,sola,-13.8833,167.55,83.07,84,100,3.44,VU,1644191969
176,vila franca do campo,37.7167,-25.4333,60.19,85,78,12.53,PT,1644191814
177,lasa,46.6166,10.7002,39.94,85,100,4.7,IT,1644191969
178,durban,-29.8579,31.0292,72.01,93,40,1.99,ZA,1644191970
179,ashtian,34.5217,50.0019,28.51,66,30,5.91,IR,1644191970
180,hami,42.8,93.45,24.51,37,30,7.25,CN,1644191963
181,malakal,9.5334,31.6605,71.4,16,78,8.63,SS,1644192017
182,beringovskiy,63.05,179.3167,-13.74,95,34,5.48,RU,1644192031
183,ponta do sol,32.6667,-17.1,63.23,66,11,10.27,PT,1644192031
184,salalah,17.0151,54.0924,70.66,29,84,16.42,OM,1644192032
185,meulaboh,4.1363,96.1285,74.34,92,100,5.01,ID,1644191809
186,ayan,56.45,138.1667,-0.49,68,91,8.77,RU,1644191741
187,mae hong son,19.3003,97.9685,59.41,98,55,0.83,TH,1644192033
188,savannah bight,16.45,-85.85,78.87,66,22,7.45,HN,1644192034
189,mecca,21.4267,39.8261,64.94,47,1,4.12,SA,1644192012
190,namibe,-15.1961,12.1522,73.67,68,97,10.38,AO,1644192034
191,gat,31.61,34.7642,54.91,100,44,7.05,IL,1644191881
192,vega de alatorre,20.0333,-96.6333,62.4,79,19,1.63,MX,1644192035
193,nacala,-14.5428,40.6728,74.52,87,19,5.03,MZ,1644192035
194,faya,18.3851,42.4509,50.11,73,4,1.79,SA,1644191900
195,joshimath,30.5667,79.5667,38.21,68,44,4.92,IN,1644192036
196,san rafael del sur,11.8485,-86.4384,88.77,46,21,14.0,NI,1644191876
197,vanimo,-2.6741,141.3028,80.17,85,100,3.11,PG,1644192036
198,broken hill,-31.95,141.4333,74.91,41,2,18.41,AU,1644191795
199,muli,2.9167,73.5667,81.32,64,64,9.51,MV,1644192037
200,rio grande,-32.035,-52.0986,67.95,55,51,12.97,BR,1644192038
201,pando,-34.7167,-55.95,65.98,78,70,13.2,UY,1644192038
202,pyinmana,19.7333,96.2167,55.71,65,96,2.15,MM,1644192039
203,geraldton,-28.7667,114.6,71.13,49,40,9.22,AU,1644192039
204,muyezerskiy,63.9333,31.65,22.33,92,100,11.9,RU,1644192039
205,fukue,32.6881,128.8419,44.2,58,98,12.44,JP,1644192040
206,victoria,22.2855,114.1577,60.94,89,100,1.01,HK,1644192010
207,morondava,-20.2833,44.2833,81.0,82,100,23.26,MG,1644192040
208,grindavik,63.8424,-22.4338,32.47,64,100,29.93,IS,1644192040
209,nederland,29.9744,-93.9924,57.24,71,3,5.75,US,1644191940
210,ossora,59.2353,163.0719,10.11,80,100,10.78,RU,1644192041
211,mitrofanovka,49.9708,39.6939,27.36,95,100,10.27,RU,1644192041
212,safakulevo,54.9901,62.5442,-6.7,98,35,3.83,RU,1644192042
213,cherskiy,68.75,161.3,-29.81,100,23,0.76,RU,1644192042
214,bredasdorp,-34.5322,20.0403,61.29,91,2,5.73,ZA,1644192043
215,kaitangata,-46.2817,169.8464,58.93,76,6,6.22,NZ,1644191824
216,kaminoyama,38.1539,140.2736,31.91,73,87,12.95,JP,1644192043
217,carnarvon,-24.8667,113.6333,72.14,58,14,22.82,AU,1644192044
218,nadym,65.5333,72.5167,-17.73,100,82,7.63,RU,1644192044
219,ixtapa,20.7,-105.2,74.23,87,57,5.99,MX,1644192045
220,naze,28.3667,129.4833,53.65,58,100,4.85,JP,1644192045
221,tasiilaq,65.6145,-37.6368,23.16,58,100,49.26,GL,1644192046
222,troitskoye,52.9821,84.6757,-1.68,100,51,3.87,RU,1644192046
223,marrakesh,31.6315,-8.0083,60.87,55,40,4.61,MA,1644192017
224,beloha,-25.1667,45.05,74.25,93,100,15.17,MG,1644192046
225,vila velha,-20.3297,-40.2925,80.55,85,75,5.01,BR,1644191953
226,hithadhoo,-0.6,73.0833,81.99,72,31,14.14,MV,1644192107
227,popova,42.9603,131.7228,-5.71,79,12,5.59,RU,1644192107
228,marawi,7.9986,124.2928,67.64,74,31,2.24,PH,1644192108
229,tubuala,9.5167,-79.0333,81.55,74,6,10.31,PA,1644192108
230,rusera,25.75,86.0333,51.31,82,0,4.27,IN,1644192108
231,tepulco,19.1167,-97.9833,59.85,44,48,8.81,MX,1644192108
232,coxim,-18.5067,-54.76,76.17,89,100,3.85,BR,1644192109
233,new norfolk,-42.7826,147.0587,73.65,39,1,3.0,AU,1644192109
234,rawson,-43.3002,-65.1023,67.46,42,3,16.33,AR,1644191978
235,saint-raymond,45.467,-73.6095,24.15,66,100,10.36,CA,1644192110
236,koslan,63.4564,48.8989,15.03,95,100,6.98,RU,1644192110
237,yumen,40.2833,97.2,11.19,83,61,10.56,CN,1644192110
238,maralal,1.0968,36.698,62.53,53,100,4.21,KE,1644192111
239,lata,40.1629,-8.3327,47.05,65,34,4.03,PT,1644192111
240,lingdong,46.5669,131.1453,1.56,92,60,5.41,CN,1644192111
241,buala,-8.145,159.5921,86.11,70,100,12.06,SB,1644192112
242,luderitz,-26.6481,15.1594,69.35,72,35,7.34,NA,1644192109
243,poum,-20.2333,164.0167,81.93,83,92,19.39,NC,1644192112
244,luebo,-5.35,21.4167,69.55,97,100,1.36,CD,1644192113
245,acarau,-2.8856,-40.12,79.81,79,33,14.07,BR,1644192046
246,mayo,38.8876,-76.5119,34.86,51,100,5.1,US,1644192113
247,aripuana,-9.1667,-60.6333,74.14,96,64,1.63,BR,1644192113
248,pimenta bueno,-11.6725,-61.1936,74.14,97,77,4.65,BR,1644192114
249,vera cruz,-12.6333,-41.0333,71.38,83,100,3.22,BR,1644192065
250,taoudenni,22.6783,-3.9836,67.42,13,13,10.36,ML,1644192114
251,darasun,51.6667,114.0,-3.46,100,72,2.15,RU,1644192115
252,ternate,0.8,127.4,80.87,78,100,7.54,ID,1644192115
253,najran,17.4924,44.1277,53.89,53,61,4.18,SA,1644192115
254,caravelas,-17.7125,-39.2481,77.52,83,8,6.53,BR,1644192116
255,hede,33.7681,120.2517,35.15,72,100,5.35,CN,1644192116
256,pemangkat,1.1667,108.9667,76.84,91,99,7.0,ID,1644192117
257,celestun,20.8667,-90.4,73.31,79,67,14.52,MX,1644192117
258,abay,49.6311,72.8539,17.98,80,71,9.26,KZ,1644192118
259,prieska,-29.6641,22.7474,72.7,57,51,3.11,ZA,1644192118
260,sao filipe,14.8961,-24.4956,72.81,76,1,5.17,CV,1644192119
261,poptun,16.3311,-89.4169,63.79,96,97,2.42,GT,1644192119
262,souillac,-20.5167,57.5167,77.36,87,73,9.13,MU,1644192119
263,port moresby,-9.4431,147.1797,83.05,67,100,5.75,PG,1644192120
264,saskylakh,71.9167,114.0833,-23.35,100,97,2.95,RU,1644192120
265,carman,49.4992,-98.0016,-1.88,98,58,4.54,CA,1644192120
266,seoul,37.5683,126.9778,24.24,76,0,4.61,KR,1644191880
267,leh,34.1667,77.5833,4.17,89,91,0.6,IN,1644191882
268,ugoofaaru,5.6667,73.0,80.1,72,66,6.6,MV,1644192121
269,joura,26.3411,77.8115,52.65,59,0,3.65,IN,1644192121
270,warri,5.5167,5.75,75.92,85,0,3.29,NG,1644192122
271,tahara,34.6667,137.2667,37.35,59,20,13.42,JP,1644192123
272,taft,31.7471,54.2088,39.38,30,0,2.13,IR,1644192183
273,lakewood,39.7047,-105.0814,39.33,42,55,1.01,US,1644192184
274,araouane,18.9048,-3.5265,65.08,11,0,8.61,ML,1644192184
275,kabinda,-6.1333,24.4833,65.32,97,100,2.55,CD,1644192185
276,mitu,1.1983,-70.1733,73.27,94,62,1.52,CO,1644192185
277,tres arroyos,-38.3739,-60.2798,57.2,86,93,7.29,AR,1644192186
278,jalu,29.0331,21.5482,57.18,32,20,6.04,LY,1644192186
279,wawa,9.9022,4.4192,78.69,23,1,5.39,NG,1644192186
280,cumra,37.5732,32.7745,21.34,86,5,1.36,TR,1644192187
281,mount gambier,-37.8333,140.7667,82.08,23,0,8.48,AU,1644192187
282,tomatlan,19.9333,-105.25,81.18,50,29,10.29,MX,1644192188
283,san jeronimito,17.55,-101.3333,85.84,66,0,6.91,MX,1644192188
284,havoysund,70.9963,24.6622,25.68,79,37,16.69,NO,1644192185
285,almeirim,-1.5233,-52.5817,74.05,95,100,4.74,BR,1644192189
286,oktyabrskiy,54.4815,53.471,11.12,97,100,2.68,RU,1644191950
287,lavrentiya,65.5833,-171.0,-10.93,93,15,5.55,RU,1644192189
288,corner brook,48.9667,-57.9484,10.53,85,100,5.84,CA,1644192026
289,sangar,63.9242,127.4739,-37.48,97,95,2.62,RU,1644192116
290,ninghai,29.2892,121.4247,42.73,97,100,2.19,CN,1644192190
291,alabaster,33.2443,-86.8164,46.87,67,0,1.1,US,1644192069
292,lodja,-3.4833,23.4333,69.06,96,100,1.52,CD,1644192191
293,iguape,-24.7081,-47.5553,77.14,90,65,5.59,BR,1644192191
294,port lincoln,-34.7333,135.8667,77.85,49,0,16.93,AU,1644192026
295,cockburn town,21.4612,-71.1419,75.69,70,0,16.06,TC,1644192048
296,malpe,13.35,74.7167,72.7,89,64,5.41,IN,1644192192
297,safaga,26.7292,33.9365,60.64,47,0,14.32,EG,1644192192
298,portland,45.5234,-122.6762,61.34,65,20,1.01,US,1644191450
299,gizo,-8.103,156.8419,85.68,71,100,15.41,SB,1644192192
300,antofagasta,-23.65,-70.4,66.61,79,5,3.09,CL,1644192090
301,svetlogorsk,52.6333,29.7333,32.5,95,100,12.73,BY,1644192193
302,esso,55.9333,158.7,12.79,90,89,2.95,RU,1644192193
303,batie,9.8833,-2.9167,77.4,18,1,1.59,BF,1644192194
304,solnechnyy,50.7214,136.6319,0.1,95,99,2.42,RU,1644192194
305,taiyuan,37.8694,112.5603,19.26,53,0,2.24,CN,1644192103
306,yamada,39.4667,141.95,30.0,51,7,2.62,JP,1644192195
307,kualakapuas,-3.0091,114.3876,75.36,93,99,3.74,ID,1644192195
308,severo-kurilsk,50.6789,156.125,31.41,79,100,11.81,RU,1644192195
309,jacareacanga,-6.2222,-57.7528,73.89,95,97,2.1,BR,1644192196
310,vanavara,60.34,102.2797,-15.7,100,98,0.87,RU,1644192076
311,pangnirtung,66.1451,-65.7125,-35.27,98,100,2.64,CA,1644192186
312,antalaha,-14.9003,50.2788,75.33,88,97,3.76,MG,1644192196
313,ambilobe,-13.2,49.05,73.6,95,95,1.61,MG,1644192197
314,moindou,-21.6924,165.677,84.15,81,92,11.54,NC,1644192197
315,olafsvik,64.8945,-23.7142,29.46,68,100,25.79,IS,1644192109
316,panzhihua,26.5851,101.7128,41.31,90,2,1.45,CN,1644192197
317,horsham,51.064,-0.3272,44.11,69,0,13.8,GB,1644192184
318,champerico,14.3,-91.9167,81.36,67,26,7.0,GT,1644192258
319,ambulu,-8.345,113.6058,78.39,85,100,2.62,ID,1644192258
320,raciborz,50.0919,18.2193,43.61,85,100,15.55,PL,1644192258
321,ilulissat,69.2167,-51.1,1.42,71,20,10.36,GL,1644192259
322,puerto baquerizo moreno,-0.9,-89.6,74.5,76,17,11.21,EC,1644192259
323,malyye derbety,47.9547,44.6808,28.35,93,88,10.27,RU,1644192259
324,zabrisce,43.7925,16.9422,43.29,99,99,7.14,BA,1644192260
325,kieta,-6.2167,155.6333,85.93,67,100,8.3,PG,1644192036
326,alofi,-19.0595,-169.9187,80.2,77,100,13.06,NU,1644192260
327,sao luis de montes belos,-16.525,-50.3722,70.66,93,73,2.46,BR,1644192201
328,jacqueville,5.2052,-4.4146,80.51,85,68,9.78,CI,1644192261
329,tahe,52.3333,124.7333,-8.27,94,36,3.44,CN,1644192261
330,hua hin,12.5707,99.9588,78.01,66,71,4.18,TH,1644192261
331,tchaourou,8.8865,2.5975,77.43,19,0,2.62,BJ,1644192262
332,bethel,41.3712,-73.414,27.0,71,0,4.61,US,1644192195
333,balakhninskiy,58.0106,114.2769,-0.27,100,100,1.63,RU,1644192262
334,road town,18.4167,-64.6167,73.99,75,71,22.1,VG,1644192088
335,palmer,42.1584,-72.3287,24.35,71,100,2.66,US,1644192262
336,ancud,-41.8697,-73.8203,65.73,82,8,4.18,CL,1644191966
337,port huron,42.9709,-82.4249,29.39,70,0,10.0,US,1644192263
338,southbridge,42.0751,-72.0334,24.06,72,100,1.01,US,1644192263
339,smirnykh,49.75,142.8333,9.73,80,87,5.88,RU,1644192263
340,baramati,18.15,74.5833,64.92,55,97,7.25,IN,1644192264
341,tema,5.667,-0.0166,80.89,76,38,6.42,GH,1644192264
342,carutapera,-1.195,-46.02,76.21,93,95,5.44,BR,1644192264
343,haines junction,60.7522,-137.5108,33.39,89,78,9.51,CA,1644192265
344,labuan,5.2767,115.2417,77.16,78,94,11.79,MY,1644192265
345,nuuk,64.1835,-51.7216,9.21,56,75,13.8,GL,1644192265
346,ketchikan,55.3422,-131.6461,46.38,93,100,16.11,US,1644192266
347,waipawa,-41.4122,175.5153,60.93,78,100,11.79,NZ,1644192266
348,soto la marina,23.7667,-98.2167,63.77,66,41,12.19,MX,1644192266
349,atambua,-9.1061,124.8925,79.59,77,42,2.04,ID,1644192110
350,homer,59.6425,-151.5483,30.09,90,100,18.41,US,1644192267
351,guadalajara,20.6667,-103.3333,76.98,24,24,7.0,MX,1644192017
352,torbay,47.6666,-52.7314,13.57,78,100,4.0,CA,1644192268
353,pisco,-13.7,-76.2167,68.02,90,47,5.59,PE,1644192123
354,virginia beach,36.8529,-75.978,39.24,79,82,3.0,US,1644191994
355,tabas,33.5959,56.9244,45.59,38,0,1.9,IR,1644192154
356,brae,60.3964,-1.353,39.11,52,73,35.23,GB,1644192269
357,sao miguel do araguaia,-13.275,-50.1628,73.89,89,94,4.79,BR,1644192044
358,skowhegan,44.7651,-69.7192,18.16,96,74,2.53,US,1644192269
359,hobyo,5.3505,48.5268,76.1,70,78,18.21,SO,1644192043
360,klaksvik,62.2266,-6.589,34.72,54,90,31.23,FO,1644192270
361,shar,49.5886,81.0453,3.76,78,0,6.91,KZ,1644192270
